Comment,Label
Bro..why she is walking soo fast ????,cyberbullying
Bros always been a fucking weirdo??,cyberbullying
Buffalo,cyberbullying
Buffalo walk ??????,cyberbullying
Buffalo ?? in black,cyberbullying
"But knowing what I know, it's just scary creepy""",cyberbullying
"By trevors own leftist logic, this is stealing culture and racist. It doesnt matter when its your money on the line. What a hypocrite.",cyberbullying
Camille is incredible. Amber is a really horrinle actor,cyberbullying
Can this guy be any less funny?,cyberbullying
Can you maybe speak fluent English,cyberbullying
Can't bear this. God bless Virat,cyberbullying
Can't do acting Can't even do model walk she's just kapoor,cyberbullying
Cat walk ? goat walk ??????????,cyberbullying
Certainly Need  lessons on how to speak Scottish  ????????,cyberbullying
I just got back from Johannesburg on holiday omg wow,
Chopped,cyberbullying
Classic narcissistic behavior,cyberbullying
Confidence 100percent .. Walk.. 0,cyberbullying
Confidence is good but overconfidence is harmful ??,cyberbullying
Copycat,cyberbullying
creep in wattpad ????,cyberbullying
Creepy,cyberbullying
Creepy expressions. He looks like the drunk lustful uncle at every stupod gathering????????,cyberbullying
Cringe,cyberbullying
Cringe max pro????,cyberbullying
Cry baby,cyberbullying
Cult ass mind awareness. Narcissistic,cyberbullying
Dangerous acting so weird face expression ,cyberbullying
Dayum!That's his reality!!The monster!,cyberbullying
deadpool made him egoistic,cyberbullying
dhanush Cheap version ??????,cyberbullying
Disgusting walk??,cyberbullying
Disgusting ??,cyberbullying
Drama Queen fake tears!,cyberbullying
Drama Quin ??,cyberbullying
Duckey lips,cyberbullying
Dude sucks at life.,cyberbullying
"Ended up being humiliated""",cyberbullying
Even i like Johnny Depp I  believe that the guy could be agressive after couple of drinks... He looks like a drunk nightmare all the time,cyberbullying
Even Seeing him Gives me a Creep nowadays ?????,cyberbullying
Every girl' s mindset ????????,cyberbullying
"Every time I see this cry baby pretty pretty princess bullshit, angers me. I see NO real pain in them eyes, the I'll f*cking kill you gaze. ",cyberbullying
"Every time I try and give him a chance.. thereís nothing funny about him""",cyberbullying
EVIL WOMAN,cyberbullying
Ew cringe WTF?! ??,cyberbullying
ewww she can't even do a cat walk and I don't like her,cyberbullying
Eww????disaster ??,cyberbullying
Favorite game?  Youíre a straight(figure of speech) Racist. Thatís just you hating and mocking other cultures ????bigot,cyberbullying
Fillers and Botox side effects her face is twitching.,cyberbullying
First ..that is a horse walk....it was a cat walk show,cyberbullying
"First of all, she needs to be slim and have a good figure.",cyberbullying
First she needs to loose a lot of weight,cyberbullying
Flopped,cyberbullying
Flow is missing... need more workout..,cyberbullying
Foolish cleverness...?,cyberbullying
For money people can do anything,cyberbullying
Freaking creep,cyberbullying
Fuck sake dude.....????????..,cyberbullying
Fukkking logic??????,cyberbullying
Funny walk,cyberbullying
"Funny, immature girl ??",cyberbullying
"Geez, I could act better than that ffs,, ??????",cyberbullying
Gerard Butler the guy who plays in evry peace of trash calls out another peace if trash,cyberbullying
Girls are like this only.!! They are just good for nothing,cyberbullying
Girls ????????,cyberbullying
Give her 35 lakhs and she will give anything to boys??,cyberbullying
God damn Amber is a very bad actress!,cyberbullying
God damn this is unfunny,cyberbullying
Gomez youre Scum Bag !!,cyberbullying
Gravitation effect,cyberbullying
Guys becareful bc taeil forced girls to show their private parts. so he is a creep??,cyberbullying
Haha hilarious,cyberbullying
Hands movement was not proper,cyberbullying
He can't go one day with out mocking gods being rude making actors quit and annoying his co stars,cyberbullying
He is so creepy here and he resemble the ml in a Chinese drama the defender and novel name is  Who is the prey .????????,cyberbullying
He isnít funny EVER,cyberbullying
He knows his the monster ??,cyberbullying
"HE LOOKS FREAKING DISGUSTING AND OLD????????""",cyberbullying
He looks like the weeknd and Bruno mars had a kid ??,cyberbullying
He sounds like an absolute ass.,cyberbullying
He sounds like that Irish duck from duck tails!,cyberbullying
He sounds straight out of brave,cyberbullying
He tries really hard to speak to liberals in their accent,cyberbullying
he was nice but fake nice,cyberbullying
He was rapper now he raper,cyberbullying
Heís as bad at comedy as he is at delivering news or stories.,cyberbullying
Her acting is really shit lol,cyberbullying
Her dress is different shape... body is different type and face angle is opposite...,cyberbullying
Her fake tears about illegal aliens being deported tells you all you need to know about this creature,cyberbullying
Her hand move is so annoying,cyberbullying
Her plastic is so extra that even she cant handle it.... thats why its looking like duck walk...,cyberbullying
Her walk is so goofy ?? feeling embarrassed for her,cyberbullying
Her walk is very funny ????????,cyberbullying
He's about as funny as standing on Lego in your bare feet,cyberbullying
Hilarious,cyberbullying
His looks so creepy wtf,cyberbullying
Honestly Iím glad I never liked him he always looked like a weirdo everytime I seen him in the nct personal videos just seemed off to me since day 1,cyberbullying
"Honestly, clowns. Both of them.",cyberbullying
Horrible actress,cyberbullying
Horrible walk,cyberbullying
How could we not tell this mf was a demon this whole time ??,cyberbullying
How she is walking.its so funny .I have not seen such catwolk in my lifetime??????,cyberbullying
How the hell is she an ACTOR?!  She's the WORST LIAR EVER!,cyberbullying
I always found him creepy and I was right tf??,cyberbullying
I am still waiting to laugh,cyberbullying
I can honestly say heís never made me laugh. Except for when he says something so stupid yet he thinks heís a genius,cyberbullying
I can't stand Amber she's a liar it's been proven and you can tell her crying is fake as hell,cyberbullying
I can't stand this guy ????,cyberbullying
i cant tell if this guy is funny or not.. like.. he says things.. people laugh... and im always like??,cyberbullying
I do this too but it isn't a game... it's me doing it without realizing it and people getting angry.,cyberbullying
I donít like jhanviís walk at all,cyberbullying
I don't know why jhanvi is showing such an overconfidence ????????,cyberbullying
I don't understand her walk,cyberbullying
I forgot how bad her acting was during the case,cyberbullying
i guess she is walking with her hip and with her legsÖgoing here and there like ghat roads,cyberbullying
"I hate her, a bad actress and an even worse human being",cyberbullying
I hate him????????,cyberbullying
I have never liked him. The epitome of everything hateful and wrong with ìfrat boyî stereotypes.,cyberbullying
I have so many questions fir this case- if the girl was a minor why was she drinking (it was said she was drunk). Why did he randomly bring random two guys to do it to. Why did he randomly do it. Why tf was he once my bias. Why is he so ugly,cyberbullying
I hope she never works again. Just like that will smith coward.,cyberbullying
i hope this guy loses his ability to speak,cyberbullying
I hope we don't see janvi doing catwalk again. Some people may say she tried her best...she is actually an actress and janvi should not be compared to kendell...then why in the first place she is here? This place doesn't belong to her. Everyone has the right to judge her walk as long as she is walking and she has taken someone else's place.,cyberbullying
I love how the entire world knew she was full of shit haha the whole world! How fuckin embarrassing.,cyberbullying
I miss Amber heard SHE MAKE'S ME LAUGH SO HARD.. SHE SHOULD ACT IN A MOVIE CALLED LIAR LIAR PANTS ON FIRE...????????????,cyberbullying
I never get sick of seeing SCUMBAG TURD getting destroyed. She proved to be a lying money grabbing narcissist ??????????????,cyberbullying
I prefer your garlic hindi english,cyberbullying
"I remember the years of Ryan Reynolds being very appreciated by the public as a cool, down to Hearth actor. For  what concerns me, he always gave classroom bully vibes.",cyberbullying
I think her body isn't made for modelling and an even if it does she doesn't know how to walk I think it's completely different from a model,cyberbullying
I think jhanvi did better,cyberbullying
I think there should be ananya pandey in place of jhanvi kapoor she should have been slayed here,cyberbullying
Iím scared,cyberbullying
idk...but he is not funny at all...there are way better comedians out there ... sorry !,cyberbullying
"If ever, you need to understand what a venom tongued, compulsively lying, sociopathic monster looks like.... Ms. Turd would be a fitting profile.",cyberbullying
If i say so myself it looks like Jhanvi's walk looks like she is going to fall any second ????,cyberbullying
If you're gonna do this make sure geography is on point,cyberbullying
I'm disgusted ,cyberbullying
Im glad scarlet dogded a bullet Blake will never be as talented or pretty like Scarlett,cyberbullying
I'm more scared of him than DIDDY,cyberbullying
I'm sorry you're black it's all my fault.,cyberbullying
Imagine listening to trevor Noahís ìcomedyî,cyberbullying
Imma do this man thatís funny,cyberbullying
"Immature Kid, don't know what she wants ??",cyberbullying
IS HE WATCHING ALWAYS HIS FACE LIEK THAT SO SCARY LIKE TF,cyberbullying
Is she crying or laughing tough to say with fillers.,cyberbullying
Is she dancing or walking? Confused...??,cyberbullying
Is she stripping or what? The hair thingy and the walk???? Ew?? ??the focus is supposed to be on the dress but she's trying to pull the attention to herself,cyberbullying
"Is there any sense in her talk man , it's just a nonsense mindset brooooooooooo??",cyberbullying
Is this ramp walk or something else ????,cyberbullying
Is this supposed to be funny? ??,cyberbullying
isnít that the cultural appropriation he was bitching about not too long ago?,cyberbullying
Isn't it racist to use other people's accents as a joke?,cyberbullying
It feels as if janhvi is jumping or something ??,cyberbullying
It looks like Jahnvi Kapoor is in hurry. she's trying to run????,cyberbullying
Itís good to know Trevor Noah is not funny in any accent.,cyberbullying
Itís good to see people see what youíre average attractive women is like: a liar ?????,cyberbullying
It's always the guys who seems all funny on tv but in reality their personality sucks ???????,cyberbullying
"It's bad""",cyberbullying
Its cuz her mouth is freakishly wide lol,cyberbullying
Its like comparing maruti suzuki to Ferrari.??,cyberbullying
"It's racist for a white guy to voice apu from the simpsons, but this is OK.",cyberbullying
Jahnvi is nothing but a elite escort ????,cyberbullying
Jahnvi should loose some weight.,cyberbullying
"Janhavi,s walk is very very funny ???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????",cyberbullying
janhvi full on attitude,cyberbullying
"Janhvi walks terribly but her personality is POWERFUL and makes her unique... she is an actress NOT a model and for the catwalk her personality is more than enough... the other girl is a model but NOT an actress although she has done reality shows she is fatal on camera and the DIFFERENCE... APPLAUSE FOR JANHVI A LOT OF PERSONALITY""",cyberbullying
Janhvi was being over confident,cyberbullying
Janvi don't know how to walk she is moving hips shoulder and chest like wtf ia that ??,cyberbullying
Janvi has done nothing to earn a catwalk. Nothing. Woman can barely act.,cyberbullying
Janvi is very bad,cyberbullying
Janvi Kapoor is a total wastage in Hindi Cinema.,cyberbullying
Janvi little over,cyberbullying
"Janvi should not be there in the first place ,she is not a model nor a great actress I don't get the hype around her, she is a nepo kid+no talent in the field she is working in, I hope modelling agency gives space for actual talented models instead of these useless nepo kids",cyberbullying
Janvi wtf was that walk??,cyberbullying
Janvi's dress is not good,cyberbullying
Jesus Christ heís terrible,cyberbullying
"Jhanavi is like old tipper lorry , struggling lift the loads,another one is volvo...what a pickup ...what a body,shape",cyberbullying
"Jhanvi does not have the figure , or grace of a cat walk model...!",cyberbullying
Jhanvi funny????,cyberbullying
Jhanvi is a joke,cyberbullying
Jhanvi is doing over acting,cyberbullying
Jhanvi is just junk,cyberbullying
Jhanvi is just kylie wanna be.,cyberbullying
Jhanvi is so cheap,cyberbullying
Jhanvi is YUCK ??????,cyberbullying
"Jhanvi looks fat, Kendell is slim & taller than jhanvi ?? copy cats never look the same. There R always some mistakes or cartoon moments ????",cyberbullying
Jhanvi looks so stupid,cyberbullying
jhanvi she is just showing her front part ??,cyberbullying
Jhanvi should really stop making a fool out of herself in the name of modeling.. its very embarrassing to watch. Lol,cyberbullying
Jhanvi walk is not all proper for ramp,cyberbullying
Jhanvi walking with attitude thinking shel trend next Ö boy did she trend for this walk ??????!!!!,cyberbullying
Jhanvi's hands movement  ??,cyberbullying
Johnny is the better actor.yes.,cyberbullying
Johnny is.narcisstic he can illusion the whole world. I ve seen Victims ans they behave like Amber. ,cyberbullying
Just brutal. She has really the worst personality type for being cross-examined. Seeing her get caught in so many lies but then still doubling and tripling down.. it really paints a picture.,cyberbullying
Kendall is a professional model but janvi don't evan know how to copy walk thay better choose an model for this project silly??,cyberbullying
Kendall look alike mermaid in this costume n walks like a pro but jhanvi like a huge baggage just rolled on the floor ????,cyberbullying
Kendall's walk is calm with a long stride...Jhanvi is trying but doesnít look elegant because of her movement??,cyberbullying
Kinda scary..,cyberbullying
"Last Women Weapon _"" TEARS """,cyberbullying
Laughing at court yet gets abused by wife at home????,cyberbullying
let her in a rapist jail for one day...,cyberbullying
Level of stupidity ??,cyberbullying
"Liar, gold digger,  abuser.",cyberbullying
Listen then i will also hate u get lost,cyberbullying
Literally on FACE you can see he is liar and fake person. That fake and loud smile of his.,cyberbullying
Lmfao Burn the witch lmao,cyberbullying
Lol shes such a terrible actress its insane.,cyberbullying
Lollol,cyberbullying
Lol??????,cyberbullying
Look at the orginal one and then it comes jahnvi it's clear that jahnvi was jumping,cyberbullying
Looking at jhanvi's legs...she doesn't even know how to walk properly,cyberbullying
Looking like pornstar,cyberbullying
Money cannot buy talent we should be happy for what we have ... instead of copying others ??,cyberbullying
most unfunny so called comic ever,cyberbullying
My mummy hate u,cyberbullying
My sister dislikes this guy with passion lmfao.,cyberbullying
Nepotism ? ,cyberbullying
Nepotism at its peak??.,cyberbullying
Nepotism only,cyberbullying
Nepotism ??,cyberbullying
no beauty no brain,cyberbullying
No clarity in life,cyberbullying
"No figure like w model, don't know how to do catwalk. She still thinks she is a model????????",cyberbullying
NO ONE TAUGHT THIS GUY TO BE A REAL MAN!!!!!!! DISGUSTING ASF???,cyberbullying
Noob is always a noob,cyberbullying
Not even a joke fuck u,cyberbullying
Not funny AT ALL!??,cyberbullying
not funny. accent sucks. race baiter,cyberbullying
not good in Scottish accent as well as anything else,cyberbullying
oh gawd i remember now her fkn always looking at the jury shes so nasty,cyberbullying
Oh Kendall only become a model becz her sisters Kim's video went viral no one would know Kendall otherwise,cyberbullying
"Oh sure, but when I do that at the Chinese restaurant, it's racist! Double standards man.",cyberbullying
OMG...IM SCARED GUYS..,cyberbullying
Original is the best she is the biggest copycat but not more than jennie ??????????,cyberbullying
Overacting ??,cyberbullying
Overconfident JHANDI,cyberbullying
Oversize jahnvi,cyberbullying
People like her are ruining the society,cyberbullying
People rly hate this guy lmao,cyberbullying
"People saying *it's unfair to compare a model and an actress* ?????? bruh an actress shouldn't even be modelling in the 1st place, its unfair to all the models who learn those walks, maintain their routines and follow all plans.. and in the end, an actress leads the show ????",cyberbullying
Perfect example of hookers ????????,cyberbullying
"Plastic Kapoor?""",cyberbullying
Plastic surgery????????,cyberbullying
Platypus ,cyberbullying
pretty child star grew up to be a crazy asshole? WHAT?!?!?!???,cyberbullying
Professional victim.,cyberbullying
Professionals are great. Janhvi is nothing...,cyberbullying
Pseudo Feminist mindset ??,cyberbullying
REAL FACE OF THE MONSTER ????,cyberbullying
Really happy that she got exposed for the abuser and manipulative women she is.,cyberbullying
Really mental??,cyberbullying
Red flag ?? ? red forest ?,cyberbullying
"Rich peoples, lawyers ???? disgusting",cyberbullying
Right wing tears all over every Trevor Noah video??,cyberbullying
Rot in jail pookie ??,cyberbullying
Ryan and Blske misses are trash (typical lefties),cyberbullying
Ryan is a immature bully he was a peer at school he was a huge predator of harassment,cyberbullying
Ryanís a glorified clown and money doesnít buy class.,cyberbullying
Seriously? What's the funny part?,cyberbullying
Shaking plastic boobs wasn't worth it try something else jhanvi,cyberbullying
Shame on these types of filthy and greedy woman ??,cyberbullying
She can't copy krndall's walk,cyberbullying
She can't even walk like a proper model lol,cyberbullying
She copied her mom,cyberbullying
She couldíve practiced her walk before embarrassing herself like this. Her arms are in the air.,cyberbullying
She deserves an Emmy Award for this video. Good actress.,cyberbullying
She deserves jailtime,cyberbullying
She dont know how to do ramp walk,cyberbullying
She graduated from Bollywood.,cyberbullying
she is a best plastic surgerry outcome??,cyberbullying
She is a narcissistic psychopath. How can you hurt the person you are supposed to love so bad that they wonít ever look you in the eyes again? Plus she did the white powder on stand!,cyberbullying
She is a terrible actor,cyberbullying
She is acting over that's why,cyberbullying
She is an awful person and a terrible actress,cyberbullying
She is awful. Boring and dishonest. And absolutely very unattractive.,cyberbullying
She is fake..remember the fake cry after trump start deporting .soo fakeee cry,cyberbullying
She is gold digger,cyberbullying
She is instable,cyberbullying
she is making a joke out of herself,cyberbullying
She is nothing without plastic surgery and nepobackground??.,cyberbullying
"She is over confident,over acting, over shaking this video is real definition of how noob and pro look like ??????????",cyberbullying
She is playing victim by acting??,cyberbullying
She is so dramatic tho,cyberbullying
She is still the most hated actor in Hollywood ????,cyberbullying
She is stupid,cyberbullying
She isn't able to carry her body n boobs as the whole body is shaking too much to handle.,cyberbullying
She looks clumsy,cyberbullying
She looks like Ursula( The Little Mermaid),cyberbullying
She loves BDSM ????????????.......,cyberbullying
She low-key looks like she's about to fall ??,cyberbullying
She needs a chad who is bad to others and good to her,cyberbullying
She needs a dog and to train ....????,cyberbullying
She needs therapist,cyberbullying
She needs to fix it,cyberbullying
She needs to learn how to walk,cyberbullying
She needs to work on her weight... Models nowadays are supposed to be slim,cyberbullying
She not model Bad wak,cyberbullying
She not walking ?? she running  actually ??,cyberbullying
She represents all narcissists women out there,cyberbullying
She took acting so seriously that now she thinks like in a movie????,cyberbullying
She us looking like a duck walking on stage,cyberbullying
She will do it again....it's in her DNA ??,cyberbullying
Sheís sooo stupid Rolf,cyberbullying
Sheís the utter disgrace to womankind,cyberbullying
she'll never be able to even match a step with kenny,cyberbullying
She's a clown,cyberbullying
She's a gold digger,cyberbullying
She's a narcissist who needs constant attention. Her recent actions prove this.,cyberbullying
She's an idiot,cyberbullying
She's dancing or walking,cyberbullying
She's dumb not a model and can't walk properly,cyberbullying
She's evidently a fake ...what a evil woman,cyberbullying
She's in a hurry to get pani-puri ??????,cyberbullying
She's trying so hard to cry being sympathetic to Johnny but it comes across as so fake She's seriously bad news,cyberbullying
Shit,cyberbullying
Shut up,cyberbullying
"Shut up,, u are trying to get validation ur crap",cyberbullying
sit down clown,cyberbullying
"Smokin' hot and the ""crazy"" is off the charts.  She has to be unbelievable in bed.",cyberbullying
Snake,cyberbullying
"Some people are saying we can not compare a model to actress.I do agree with that , but she's not even a good actor",cyberbullying
Someone should have told her to walk not jump,cyberbullying
Sounds like shrek,cyberbullying
Sreedevi jiís daughters are an embarrassment to their late mother. Sreedevi ji was a beautiful and talented actress and dancer but her daughters are not as talented as her. There will only be one sreedevi ji.,cyberbullying
Such a creep !,cyberbullying
Such a disgusting weird animal I can't even call him an human,cyberbullying
Such a shame to sridevi jhanvi??,cyberbullying
Such liers shame on them ??,cyberbullying
Taeil time to go to jaeil!! also he looks creepier than the monster under my bed,cyberbullying
TAEIL YOU CREEP????,cyberbullying
"Taeil? Nah, more like Jaeil! He is disgusting...",cyberbullying
telugu girls are idiots,cyberbullying
Terrible,cyberbullying
That walk is ugly ??,cyberbullying
That walk just looks terrible,cyberbullying
"That was public shame, i remebered cersei's walk of shame",cyberbullying
that was quite scary ??,cyberbullying
Thatís insulting and also bigoted. Use the accent you were born with. If I did that to you youíd fall apart.,cyberbullying
"That's a terrible walk, but janvhi is not a model, and she looks like her legs were probably not long enough to pull that off",cyberbullying
That's not cat walk??????????????,cyberbullying
That's what I said katrina' s acting is great....‚ù§‚ù§,cyberbullying
"Thats why one shouldnt mindlessly try to copy""",cyberbullying
the evil profile op??,cyberbullying
The fact that this guy makes a living out of comedy blows my mind.,cyberbullying
The first girl's body is not suitable for fashion shows.,cyberbullying
The guy is a wanker but the poor fellow did have to date the one album wonder and talentless Alannis Morissette,cyberbullying
The most dumbest walk I have ever seen ????,cyberbullying
"the most evil bitch iv ever watched on the stand, acting from word go, ????????????????????real evil cunt.",cyberbullying
The most vile woman on earth!!,cyberbullying
The only mental illness she suffers from is being narcissist and manipulative person and playing victim/24/7 get some help,cyberbullying
The problem with his character is that he stars in great films but his actions towards others are unbelievably disrespectful he's mean rude he's out of context he's like a wolf in sheep clothing,cyberbullying
The walk looks so bad I'm sorry,cyberbullying
The way I cackled out loud???????? why was he looking like that tho?????,cyberbullying
The way she turns into an alien when she fakes to cry is seriously concerning. Not a shred of remorse or accountability... Well at least she would probably kill it on ÿF.,cyberbullying
The way she's trying to walk ????  she ruined her own style ????,cyberbullying
Thee worst put on Scottish accent I've ever heard ??,cyberbullying
There is nothing funny about this guy ,cyberbullying
These accent jokes are getting old,cyberbullying
These two very nasty ppl reproduced.. think about that ?????,cyberbullying
They are both nepo baby and crap model why do u compare two garbage??,cyberbullying
They think if they became actresses they can be models ?? I saw lot of indian actresses walk like speedy trucks not like models??,cyberbullying
"This demon needs to be locked up longer! Throw away your merch, girlies!!!",cyberbullying
This dude so fucking unfunny,cyberbullying
this girl is a red flag,cyberbullying
This girl should have been removed from the Hollywood Forever!,cyberbullying
"This Girl will end her life by becoming Feminist who says all ""boys are the same"".",cyberbullying
This guy is overrated....leftist / woke,cyberbullying
This guy is painfully unfunny,cyberbullying
This guy is such an unfunny douchebag,cyberbullying
This guy isnít funny.,cyberbullying
This guy isnt funny.,cyberbullying
This guy just isn't funny.,cyberbullying
This guy never fails to *miss*,cyberbullying
This is anti-comedy,cyberbullying
This is basically just being a racist dick around the world. I wonder why he gets away with it?,cyberbullying
This is how i walk when i have to use the restroom fast ??,cyberbullying
this is so creepy and scary??????,cyberbullying
this is terrible,cyberbullying
This is the prime example for don't judge a women by her dress ??.,cyberbullying
This is what happens to women who want to empower themselves!,cyberbullying
This is why chapris has more gf ??,cyberbullying
This is why people don't like Americans,cyberbullying
"This type of women are really horrible, for the women who are actually victims.",cyberbullying
This woman is vile.,cyberbullying
"Those arms are swinging too much girl, it looks so bad ??",cyberbullying
Those cut scenes are worse than cancer and famine combined.,cyberbullying
To the streets this horrid woman belongs ..,cyberbullying
Too bad he just isn't funny...,cyberbullying
too much hand movement,cyberbullying
Too much hand movement miss jhanvi plastic,cyberbullying
Total psychopath,cyberbullying
Trevor Noah should be locked up for crimes against comedy.,cyberbullying
Trevor Noah sucks. Heís not funny and what was John Stewart thinking?,cyberbullying
Truth. RYAN REYNOLDS is a true psychopath and his flake of a wife is a sociopath,cyberbullying
Typical narcissist,cyberbullying
U suck,cyberbullying
Virat kohli......sorry bro,cyberbullying
vulgarity,cyberbullying
Walk just like a snake ?? ??,cyberbullying
Walkin like she's drunk,cyberbullying
Wanting a bad boy is just fatherless behaviour. Lack of parental guidance.,cyberbullying
Was not expecting that accent to come out of his face lol,cyberbullying
Watching this after the crying video she posted?? sheís a liberal clown,cyberbullying
We love captain sparrow so amber you have to look where you can steal money without work,cyberbullying
Well she is not the greatest in the acting department,cyberbullying
What a liar the B is!,cyberbullying
What a spoiled brat.,cyberbullying
What is wrong with her teeth?!?!?!?,cyberbullying
When u eat vada pav and samosa before ramp walk ??????,cyberbullying
Where was the joke? That wasn't funny,cyberbullying
Where's the comedy?,cyberbullying
Who are the ppl that made this idiot rich?,cyberbullying
Who gives a fuck,cyberbullying
who is booking him and giving out gigsÖ,cyberbullying
Who tf even watches this guy,cyberbullying
Why all cancerian woman sound this,cyberbullying
Why don't you just stay in your own fucking country you dirty rat,cyberbullying
Why is she flailing her hands like that? Was she trying to fly?,cyberbullying
Why is this guy so unfunny and he is everywhere,cyberbullying
Why lee da hee made her nose look like lord voldemort ??,cyberbullying
Why she's jumping like a kangaroo ??????,cyberbullying
Why the hell is she literally bouncing ????,cyberbullying
Why's fatty on rampwalk?,cyberbullying
"Will ya look at that!!!  A Talking AZZZZ   WHOLE!!!! Failed fake news talking head , now doing commercials and stand up??? ??head  ??!!!",cyberbullying
Willy from simpson lol,cyberbullying
Women are generally speaking so damn poisonous!,cyberbullying
Worst walk,cyberbullying
Wow her acting is absolutely atrocious!,cyberbullying
Wow what a racist!,cyberbullying
"Wow, that's incredibly racist.",cyberbullying
Wtf ??  he's cheap version of yg disgusting ew,cyberbullying
"Wtf, that wasn't good at all",cyberbullying
Wtff his expressions are soo disgusting you can see the monster in him!!,cyberbullying
Y janvi needs to do ramp walk when there sre good models. These nepo kids want to try everything. They doesn't know the value of opportunity. If she really wants to use opportunity she should atleast practice with models.,cyberbullying
Ya Allah i am seriously getting heart wretched ?? after watching this Monster chiii ewww i want to put Whole Zam zam bottle in my eyes,cyberbullying
"Ya saying youíre from Scotland to a local Scottish individual is a dead give away. Thatís the same as an American asking you where are from (assuming youíre from their country) and you just saying America. HORRIBLE way to start off a joke. You lost everyone after that, well at least the educated ones. This guy is such a POS.",cyberbullying
Yes jhanvi is a big copy cat of Kardashians,cyberbullying
You have a bad South African accent so all your other ones are just progressively shittier,cyberbullying
YOU MONSTER ????,cyberbullying
You would get yer cunt punched in for acting like a dick er here fir doing that,cyberbullying
Your a racist,cyberbullying
Your accents ??????,cyberbullying
yuck,cyberbullying
?????? not graceful,cyberbullying
?????????????? cartoon,cyberbullying
Can't copy ????? can't even walk properly ?? ????,cyberbullying
Why would you compare a third grade actress with a professional and trained model? ???????????,cyberbullying
Dynosor walk ??,cyberbullying
Her walk is hilarious ??,cyberbullying
The first girlís walk is a disaster. Even everyday walk look better than that. She canít ever control her posture and donít even know how to normally walk on heels let alone a model walk,cyberbullying
"Too much drama.""",cyberbullying
?? trying hard  to be Kendal Jenner ??but unfortunately turned up as a clown ??,cyberbullying
She is flaunting her figure which is looking so bad??,cyberbullying
"""Ok lets remind you"" is just brutal hahahahah Such and amazing lawyer she is.",not cyberbullying
...She just showed the world beyond her mask no one else sees and thats really brave!!! ??,not cyberbullying
ìYou can have everything but still be brokenî some really amazing wisdom,not cyberbullying
? good point!,not cyberbullying
"? You are just Super awesome and gorgeous person, i just love all your songs  ?? my favorite is ""That same old love""??",not cyberbullying
? you lady! God bless you! ???????????????,not cyberbullying
??? perfect Answer,not cyberbullying
?????good girl a Nice video,not cyberbullying
?bravo,not cyberbullying
"? Master your emotions, and the world canít control you. ??",not cyberbullying
100% legit,not cyberbullying
1st time looking at a guy speaking like that...he is ??,not cyberbullying
A lot of it for the most random reasons.,not cyberbullying
